epoch;accuracy;loss;val_accuracy;val_loss
0;0.5196679;1.6866965618534602;0.6727272868156433;0.740859866142273
1;0.75508994;0.8045622352102006;0.7162055373191833;0.00947397481650114
2;0.80075115;0.6445739565306347;0.7636363506317139;0.2709718644618988
3;0.8226922;0.5739349668356217;0.7731225490570068;1.6104730367660522
4;0.83969164;0.5018060261821424;0.7604743242263794;0.26468613743782043
5;0.8426567;0.4946030863306873;0.7802371382713318;1.709964394569397
6;0.853133;0.45455170195364897;0.7889328002929688;0.20409980416297913
7;0.8740858;0.40546359911361823;0.7857707738876343;1.060732364654541
8;0.86795807;0.4039626631454623;0.7652173638343811;1.4565560817718506
9;0.8796205;0.37820373173879673;0.7778655886650085;0.1698600798845291
0;0.5107729;1.74413241289908;0.6411067247390747;1.032180666923523
1;0.758055;0.797472397687643;0.730434775352478;0.8988005518913269
2;0.8031232;0.6193284873883228;0.738339900970459;0.7272695302963257
3;0.82249457;0.5531932646298222;0.7739130258560181;0.101568304002285
4;0.84028465;0.50187496230504;0.7881422638893127;0.052652232348918915
5;0.85234237;0.46656393720252015;0.8126482367515564;2.765813112258911
6;0.8515517;0.4590454051612756;0.8110671639442444;0.05921151489019394
7;0.8768531;0.397394241183318;0.8126482367515564;1.0859142541885376
8;0.87507415;0.37588328400989074;0.8015810251235962;0.3782060742378235
9;0.8817948;0.35785030592070943;0.8395256996154785;0.5915058851242065
